role,p,decay,ks,n,val,se,mor
Detector,0.2,NA,4,50,0.53183317724154755,0.03521202956205578,-9
Detector,0.2,NA,5,50,0.5714092462654494,0.034634191901942904,-9
Detector,0.2,NA,6,50,0.6768197170041058,0.03093377032978584,-9
Detector,0.2,NA,7,50,0.8342834364007615,0.01955215079624925,-9
Detector,0.2,NA,8,50,0.8970533035962582,0.013060074738405645,-9
Detector,0.2,NA,9,50,0.793520981009189,0.023171243448191162,-9
Detector,0.2,NA,10,50,0.4909975623041742,0.03534387772327128,-9
Liar,0.2,NA,0,50,0.8030541210414662,0.08978201192016444,-9
Liar,0.2,NA,1,50,0.5431461210178811,0.05134467370363751,-9
Liar,0.2,NA,2,50,0.9772249051617671,0.1149644876346326,-9
Liar,0.2,NA,3,50,1.4038415758693754,0.18011931998382028,-9
Liar,0.2,NA,4,50,1.8081133678350336,0.24882070972454215,-9
Liar,0.2,NA,5,50,2.1882501096310145,0.3165820948097497,-9
Liar,0.2,NA,6,50,2.4413450549856592,0.36242923692061213,-9
Liar,0.2,NA,7,50,2.396802145315795,0.35425369297065795,-9
Liar,0.2,NA,8,50,2.2123144505939236,0.3205841168701832,-9
Liar,0.2,NA,9,50,2.0739066192381665,0.2953296142905864,-9
Liar,0.2,NA,10,50,2.07082403237195,0.2947663681778982,-9
Detector2,0.2,NA,0,50,0.5342527982004351,0.03518941586133584,-9
Detector2,0.2,NA,1,50,0.5158560245351507,0.03531978381919272,-9
Detector2,0.2,NA,2,50,0.514300499528815,0.0353264177857355,-9
Detector2,0.2,NA,3,50,0.5206796845309511,0.03529486030793115,-9
Detector2,0.2,NA,4,50,0.5406125054683094,0.03512208212497218,-9
Detector2,0.2,NA,5,50,0.5877859634163936,0.03426549300241178,-9
Detector2,0.2,NA,6,50,0.6639907482097707,0.03155209940530042,-9
Detector2,0.2,NA,7,50,0.7773343911515597,0.024478005315427827,-9
Detector2,0.2,NA,8,50,0.9185166920700644,0.010584508655558458,-9
Detector2,0.2,NA,9,50,0.9875411998190713,0.0017399887550695816,-9
Detector2,0.2,NA,10,50,0.9988844183155421,1.5759107275047207e-4,-9
Detector,0.2,NA,0,50,0.537930378642984,0.03515187422738418,-8
Detector,0.2,NA,1,50,0.5259535135977262,0.03526007977374436,-8
