role,p,mor,ks,n,val,se
Liar,0.2,-4,7,100,8.242046278270827,0.14213526887959096
Liar,0.2,-4,8,100,8.817947865853544,0.09300538016049871
Liar,0.2,-4,9,100,9.412898934475237,0.04688147321965242
Liar,0.2,-4,10,100,9.603287511648638,0.04682074220589088
Detector2,0.2,-4,0,100,0.9698810151885754,0.0029211831565353783
Detector2,0.2,-4,1,100,0.6647332252509189,0.022286296449843
Detector2,0.2,-4,2,100,0.5638246848157694,0.02459264096081677
Detector2,0.2,-4,3,100,0.5606358515069997,0.02463232935120211
Detector2,0.2,-4,4,100,0.5681030123453881,0.024536197970948394
Detector2,0.2,-4,5,100,0.5328916753241949,0.024891813769436773
Detector2,0.2,-4,6,100,0.4543198892572742,0.02479133274825323
Detector2,0.2,-4,7,100,0.45877063506399396,0.024830013946697364
Detector2,0.2,-4,8,100,0.4595050917441307,0.024836016240534872
Detector2,0.2,-4,9,100,0.4594915490013818,0.024835906539769255
Detector2,0.2,-4,10,100,0.45830933410696756,0.024826188837739557
Detector,0.2,-3,0,100,0.3938886296792041,0.023874037708864294
Detector,0.2,-3,1,100,0.3870967881519326,0.02372528647543904
Detector,0.2,-3,2,100,0.4307272705913279,0.024520128896027293
Detector,0.2,-3,3,100,0.43923125675320945,0.024630715984420563
Detector,0.2,-3,4,100,0.44355988153094766,0.024681451302719936
Detector,0.2,-3,5,100,0.47503801982663474,0.02493768995458245
Detector,0.2,-3,6,100,0.6085546997512036,0.023821587716192603
Detector,0.2,-3,7,100,0.6164671167838016,0.02364354107080683
Detector,0.2,-3,8,100,0.6178050167934798,0.023612197801828792
Detector,0.2,-3,9,100,0.6182452914031685,0.023601805106097974
Detector,0.2,-3,10,100,0.6184290350613334,0.023597456365444146
Liar,0.2,-3,0,100,6.957205490936817,0.25189952617943784
Liar,0.2,-3,1,100,6.588111519654848,0.2949327403158431
Liar,0.2,-3,2,100,6.577983968646023,0.2967581806636911
Liar,0.2,-3,3,100,6.712607654167361,0.27844999844386026
Liar,0.2,-3,4,100,6.865000059957368,0.2610705038286086
Liar,0.2,-3,5,100,6.738252128124572,0.27136439903405407
Liar,0.2,-3,6,100,7.63924201691186,0.19149703023420592
Liar,0.2,-3,7,100,8.218093816667697,0.1414047057535276
Liar,0.2,-3,8,100,8.799137883667568,0.09256795329298048
Liar,0.2,-3,9,100,9.39839520031591,0.04617568256338851
Liar,0.2,-3,10,100,9.693410315849125,0.038582667734065906
Detector2,0.2,-3,0,100,0.911664415476347,0.008053240903051753
Detector2,0.2,-3,1,100,0.5545935366628321,0.024701954575464403
Detector2,0.2,-3,2,100,0.5013337571965393,0.02499982210917407
Detector2,0.2,-3,3,100,0.5040051281063764,0.024998395894885152
Detector2,0.2,-3,4,100,0.5143690806601743,0.02497935295209814
Detector2,0.2,-3,5,100,0.5224440062195446,0.024949626658481706
Detector2,0.2,-3,6,100,0.503498652827068,0.024998775942839564
Detector2,0.2,-3,7,100,0.5075956723820264,0.02499423057610649
Detector2,0.2,-3,8,100,0.5082711887639648,0.024993158743643086
Detector2,0.2,-3,9,100,0.5080940934602797,0.024993448565105623
Detector2,0.2,-3,10,100,0.5058079268982926,0.02499662679851441
Detector,0.2,-2,0,100,0.34057451630860763,0.02245835151497656
Detector,0.2,-2,1,100,0.3916191059939199,0.023825358181444285
Detector,0.2,-2,2,100,0.44851751591680417,0.02473495538326235
Detector,0.2,-2,3,100,0.46078951137237717,0.024846253758158306
Detector,0.2,-2,4,100,0.4636587749994511,0.02486793153654595
Detector,0.2,-2,5,100,0.47525193751821687,0.02493875334033977
Detector,0.2,-2,6,100,0.5463701696785812,0.02478498073639796
Detector,0.2,-2,7,100,0.5564984474456118,0.024680792543623545
Detector,0.2,-2,8,100,0.5595192081216255,0.024645746386457463
Detector,0.2,-2,9,100,0.5606795916007876,0.024631798716316163
Detector,0.2,-2,10,100,0.5612046897569598,0.02462539859517543
