role,p,mor,ks,n,val
Liar,0.2,11,1,100,2.9065217570183473
Liar,0.2,11,2,100,2.455138632552969
Liar,0.2,11,3,100,3.0921879946236155
Liar,0.2,11,4,100,4.017534160443396
Liar,0.2,11,5,100,5.003190897600248
Liar,0.2,11,6,100,6.000549087021081
Liar,0.2,11,7,100,7.000086091096538
Liar,0.2,11,8,100,8.000011078472884
Liar,0.2,11,9,100,9.000000657544549
Liar,0.2,11,10,100,9.999999741867729
Liar,0.2,12,0,100,3.601558109063516
Liar,0.2,12,1,100,2.0237071909438678
Liar,0.2,12,2,100,2.222238898879425
Liar,0.2,12,3,100,3.0438817288837465
Liar,0.2,12,4,100,4.008296834728946
Liar,0.2,12,5,100,5.001507852055487
Liar,0.2,12,6,100,6.000259392379493
Liar,0.2,12,7,100,7.000040667308242
Liar,0.2,12,8,100,8.000005233120419
Liar,0.2,12,9,100,9.000000310602278
Liar,0.2,12,10,100,9.999999878066937
Liar,0.2,13,0,100,2.134471713508528
Liar,0.2,13,1,100,1.5169516466402932
Liar,0.2,13,2,100,2.106676709116833
Liar,0.2,13,3,100,3.0208039058330973
Liar,0.2,13,4,100,4.003922342466673
Liar,0.2,13,5,100,5.000712388088414
Liar,0.2,13,6,100,6.0001225332016626
Liar,0.2,13,7,100,7.000019210044393
Liar,0.2,13,8,100,8.000002471955598
Liar,0.2,13,9,100,9.000000146718179
Liar,0.2,13,10,100,9.999999942402898
Liar,0.2,14,0,100,1.1461142608188881
Liar,0.2,14,1,100,1.2524230504767315
Liar,0.2,14,2,100,2.0507785906132217
Liar,0.2,14,3,100,3.0098440387741956
Liar,0.2,14,4,100,4.001853497201817
Liar,0.2,14,5,100,5.000336537144092
Liar,0.2,14,6,100,6.000057881683385
Liar,0.2,14,7,100,7.000009074219977
Liar,0.2,14,8,100,8.000001167670158
Liar,0.2,14,9,100,9.000000069304772
Liar,0.2,14,10,100,9.999999972793054
Liar,0.2,15,0,100,0.5787674635879413
Liar,0.2,15,1,100,1.1211657540006261
Liar,0.2,15,2,100,2.0240736859301625
Liar,0.2,15,3,100,3.004653790701134
Liar,0.2,15,4,100,4.000875689447124
Liar,0.2,15,5,100,5.000158975326188
Liar,0.2,15,6,100,6.000027341616099
Liar,0.2,15,7,100,7.000004286366383
Liar,0.2,15,8,100,8.000000551568554
Liar,0.2,15,9,100,9.000000032737258
Liar,0.2,15,10,100,9.999999987148348
Liar,0.2,16,0,100,0.28260787034597334
Liar,0.2,16,1,100,1.0576755272019698
