role,p,mor,ks,n,val,se
Liar,0.5,0,4,100,6.771107351337348,0.27846271407543555
Liar,0.5,0,5,100,7.269762614210807,0.2281464639414154
Liar,0.5,0,6,100,7.7659840536811595,0.17751402313594686
Liar,0.5,0,7,100,8.25301926452898,0.12594266718764974
Liar,0.5,0,8,100,8.716235821691528,0.07200326841138081
Liar,0.5,0,9,100,9.184169861691245,0.01853901965398571
Liar,0.5,0,10,100,9.937673470801062,0.006501137639837657
Detector2,0.5,0,0,100,0.5451293226225968,0.024796334423962556
Detector2,0.5,0,1,100,0.5433571307135561,0.02481201592162876
Detector2,0.5,0,2,100,0.5058994916804512,0.02499651959979123
Detector2,0.5,0,3,100,0.45264475269646504,0.024775748055282105
Detector2,0.5,0,4,100,0.39559861379997946,0.023910035055951417
Detector2,0.5,0,5,100,0.36577245383015977,0.02319829658492234
Detector2,0.5,0,6,100,0.3807704122307678,0.023578430540037894
Detector2,0.5,0,7,100,0.42928408090279035,0.02449992587862369
Detector2,0.5,0,8,100,0.4842380251699592,0.024975156014945717
Detector2,0.5,0,9,100,0.5260994957030474,0.024931881632404663
Detector2,0.5,0,10,100,0.5502283659474959,0.024747711125424444
Detector,0.5,11,0,100,0.03317095363600942,0.003207064147088714
Detector,0.5,11,1,100,0.03316991828134463,0.0032069674802553544
Detector,0.5,11,2,100,0.03310758746404068,0.003201147511635158
Detector,0.5,11,3,100,0.0330988381647653,0.003200330507690797
Detector,0.5,11,4,100,0.03324218563012115,0.0032137142724653718
Detector,0.5,11,5,100,0.03405055007073144,0.003289111011061205
Detector,0.5,11,6,100,0.04011668996843848,0.003850734115441467
Detector,0.5,11,7,100,0.17463440236415081,0.01441372278750667
Detector,0.5,11,8,100,0.465472922094882,0.02488078808913339
Detector,0.5,11,9,100,0.384643070598088,0.02366927788389623
Detector,0.5,11,10,100,0.3847297873183116,0.023671277806831835
Liar,0.5,11,0,100,8.31478308557249,0.12968242516732037
Liar,0.5,11,1,100,7.908137818653034,0.16400601085563785
Liar,0.5,11,2,100,7.0439711600627035,0.2162265643977273
Liar,0.5,11,3,100,6.083198136166223,0.22906492188175198
Liar,0.5,11,4,100,5.523632794734959,0.1560994519083076
Liar,0.5,11,5,100,5.5003494722337996,0.05840188946680178
Liar,0.5,11,6,100,6.10505882550404,0.012797288676414465
Liar,0.5,11,7,100,7.008541128306849,0.001034783508557442
Liar,0.5,11,8,100,8.0004512964554,1.1884539122353542e-4
