role,p,decay,ks,n,val,se,mor
Detector,0.2,NA,7,50,0.45599568447381705,0.035081493603952366,-6
Detector,0.2,NA,8,50,0.4519483217583492,0.035028802269796856,-6
Detector,0.2,NA,9,50,0.5026594463001487,0.03535433883491834,-6
Detector,0.2,NA,10,50,0.42436808451118047,0.0345463825066962,-6
Liar,0.2,NA,0,50,0.47567670836691106,0.07987837133547733,-6
Liar,0.2,NA,1,50,0.6032626457181469,0.06660445619911579,-6
Liar,0.2,NA,2,50,1.221753971496593,0.13065161968951372,-6
Liar,0.2,NA,3,50,1.8133852941639312,0.19921467814881388,-6
Liar,0.2,NA,4,50,2.3960024141920466,0.26931014698017974,-6
Liar,0.2,NA,5,50,2.976445364626746,0.3397361466385634,-6
Liar,0.2,NA,6,50,3.5511625308841968,0.40958047152439886,-6
Liar,0.2,NA,7,50,4.057383158331654,0.4711165220117733,-6
Liar,0.2,NA,8,50,4.053270895042725,0.47061604269554025,-6
Liar,0.2,NA,9,50,3.0887205505311015,0.35335932165119077,-6
Liar,0.2,NA,10,50,2.7802883527583244,0.31586441902982304,-6
Detector2,0.2,NA,0,50,0.44088531377576895,0.034861135606558145,-6
Detector2,0.2,NA,1,50,0.42977241334153427,0.034657861102801994,-6
Detector2,0.2,NA,2,50,0.42876490479693624,0.03463770504370183,-6
Detector2,0.2,NA,3,50,0.43281627941112266,0.03471701222775743,-6
Detector2,0.2,NA,4,50,0.4455740118376778,0.03493642238842873,-6
Detector2,0.2,NA,5,50,0.474784083678824,0.03526541735968682,-6
Detector2,0.2,NA,6,50,0.5096669243190504,0.03534212331479252,-6
Detector2,0.2,NA,7,50,0.5284545019062395,0.03524083603089176,-6
Detector2,0.2,NA,8,50,0.5601207075321901,0.03484417164157105,-6
Detector2,0.2,NA,9,50,0.7551305365973854,0.02614999802225741,-6
Detector2,0.2,NA,10,50,0.9871551819872006,0.001793198566380634,-6
Detector,0.2,NA,0,50,0.501252249903625,0.035355117292281316,-5
Detector,0.2,NA,1,50,0.4993405798988409,0.03535527756439035,-5
Detector,0.2,NA,2,50,0.49914981939877184,0.0353552368389734,-5
Detector,0.2,NA,3,50,0.4994161272520743,0.035355290847742527,-5
Detector,0.2,NA,4,50,0.5004728372468743,0.03535530744103888,-5
Detector,0.2,NA,5,50,0.5037716292867976,0.03535332731402164,-5
Detector,0.2,NA,6,50,0.5086416537794104,0.03534477796982433,-5
Detector,0.2,NA,7,50,0.5078110995622432,0.03534671047903447,-5
Detector,0.2,NA,8,50,0.4991706207158049,0.03535524177981948,-5
Detector,0.2,NA,9,50,0.46282073538896945,0.03515985264146308,-5
