role,p,mor,ks,n,val
Liar,0.5,1,8,100,8.004167625038573
Liar,0.5,1,9,100,9.000212525665447
Liar,0.5,1,10,100,9.999981020666818
Liar,0.5,2,0,100,9.601417994293202
Liar,0.5,2,1,100,9.595143688289385
Liar,0.5,2,2,100,9.554356524774574
Liar,0.5,2,3,100,9.304753110757757
Liar,0.5,2,4,100,8.151873843186655
Liar,0.5,2,5,100,6.284482197204675
Liar,0.5,2,6,100,6.179298011913601
Liar,0.5,2,7,100,7.018315656548595
Liar,0.5,2,8,100,8.001535561798805
Liar,0.5,2,9,100,9.000078197709849
Liar,0.5,2,10,100,9.999993017833573
Liar,0.5,3,0,100,9.599482799089936
Liar,0.5,3,1,100,9.582368997976545
Liar,0.5,3,2,100,9.472619750319932
Liar,0.5,3,3,100,8.850357208754282
Liar,0.5,3,4,100,6.872487932531486
Liar,0.5,3,5,100,5.573588686406683
Liar,0.5,3,6,100,6.068092251922794
Liar,0.5,3,7,100,7.006767564288332
Liar,0.5,3,8,100,8.000565224157983
Liar,0.5,3,9,100,9.000028769209635
Liar,0.5,3,10,100,9.999997431396404
Liar,0.5,4,0,100,9.594226333287427
Liar,0.5,4,1,100,9.547834921410793
Liar,0.5,4,2,100,9.25911947268843
Liar,0.5,4,3,100,7.891963394579533
Liar,0.5,4,4,100,5.563148684427254
Liar,0.5,4,5,100,5.229029964369679
Liar,0.5,4,6,100,6.02535121446604
Liar,0.5,4,7,100,7.002493679282162
Liar,0.5,4,8,100,8.000207978032728
Liar,0.5,4,9,100,9.000010583855193
Liar,0.5,4,10,100,9.999999055062448
Liar,0.5,5,0,100,9.579966826780915
Liar,0.5,5,1,100,9.455350883881763
Liar,0.5,5,2,100,8.735976265190859
Liar,0.5,5,3,100,6.384730905659494
Liar,0.5,5,4,100,4.698130651297901
Liar,0.5,5,5,100,5.086988021204734
Liar,0.5,5,6,100,6.009367665459183
Liar,0.5,5,7,100,7.000917920156077
Liar,0.5,5,8,100,8.000076516756325
Liar,0.5,5,9,100,9.00000389361717
Liar,0.5,5,10,100,9.999999652376754
Liar,0.5,6,0,100,9.54141881549284
Liar,0.5,6,1,100,9.213778046693296
Liar,0.5,6,2,100,7.63256515475172
Liar,0.5,6,3,100,4.8420174446491675
Liar,0.5,6,4,100,4.278778594281392
Liar,0.5,6,5,100,5.032387527201625
Liar,0.5,6,6,100,6.003451818745283
Liar,0.5,6,7,100,7.000337758017812
Liar,0.5,6,8,100,8.000028149741997
Liar,0.5,6,9,100,9.000001432386368
Liar,0.5,6,10,100,9.999999872116533
Liar,0.5,7,0,100,9.43818524432001
Liar,0.5,7,1,100,8.621846931291314
Liar,0.5,7,2,100,5.897219056130202
Liar,0.5,7,3,100,3.8227129519493404
Liar,0.5,7,4,100,4.105886195809699
Liar,0.5,7,5,100,5.01196786968177
Liar,0.5,7,6,100,6.0012706191321135
Liar,0.5,7,7,100,7.00012426425729
Liar,0.5,7,8,100,8.000010355819686
Liar,0.5,7,9,100,9.000000526946126
Liar,0.5,7,10,100,9.9999999529543
Liar,0.5,8,0,100,9.16853403326393
Liar,0.5,8,1,100,7.373342840966119
Liar,0.5,8,2,100,4.120958810416603
Liar,0.5,8,3,100,3.328533655174655
Liar,0.5,8,4,100,4.039424173344606
Liar,0.5,8,5,100,5.004409972200062
Liar,0.5,8,6,100,6.000467538406082
Liar,0.5,8,7,100,7.000045715622611
Liar,0.5,8,8,100,8.00000380970782
Liar,0.5,8,9,100,9.000000193852733
Liar,0.5,8,10,100,9.999999982692852
Liar,0.5,9,0,100,8.507801475451142
